KABUPATEN_KOTA	KECAMATAN	KELURAHAN_DESA	KODE_POS
Kabupaten Sidoarjo	Waru	Wedoro	61256
Kabupaten Sidoarjo	Waru	Ngingas	61256
Kabupaten Sidoarjo	Waru	Kureksari	61256
Kabupaten Sidoarjo	Waru	Kepuhkiriman	61256
Kabupaten Sidoarjo	Waru	Berbek	61256
Kabupaten Sidoarjo	Waru	Bungurasih	61256
Kabupaten Sidoarjo	Waru	Jatisari	61256
Kabupaten Sidoarjo	Waru	Pepelegi	61256
Kabupaten Sidoarjo	Waru	Waru	61256
Kabupaten Sidoarjo	Waru	Kedungrejo	61256
Kabupaten Sidoarjo	Waru	Medaeng	61256
Kabupaten Sidoarjo	Waru	Tambaksumur	61256
Kabupaten Sidoarjo	Waru	Tambakrejo	61256
Kabupaten Sidoarjo	Waru	Tambakoso	61256
Kota Surabaya	Wonocolo	Siwalankerto	60236
Kota Surabaya	Wonocolo	Jemur Wonosari	60237
Kota Surabaya	Wonocolo	Margorejo	60238
Kota Surabaya	Wonocolo	Sidosermo	60239
Kota Surabaya	Wonocolo	Bendul Merisi	60239
Kota Surabaya	Gayungan	Menanggal	60234
Kota Surabaya	Gayungan	Dukuh Menanggal	60234
Kota Surabaya	Gayungan	Gayungan	60235
Kota Surabaya	Gayungan	Ketintang	60231
Kota Surabaya	Gunung Anyar	Rungkut Menanggal	60293
Kota Surabaya	Gunung Anyar	Rungkut Tengah	60293
Kota Surabaya	Gunung Anyar	Gunung Anyar	60294
Kota Surabaya	Gunung Anyar	Gunung Anyar Tambak	60294
Kabupaten Sidoarjo	Gedangan	Bangah	61254
Kabupaten Sidoarjo	Gedangan	Sawotratas	61254
Kabupaten Sidoarjo	Gedangan	Keboansikep	61254
Kabupaten Sidoarjo	Gedangan	Keboananom	61254
Kabupaten Sidoarjo	Gedangan	Gedangan	61254
Kabupaten Sidoarjo	Gedangan	Ketajen	61254
Kabupaten Sidoarjo	Gedangan	Ganting	61254
Kabupaten Sidoarjo	Gedangan	Kragan	61254
Kabupaten Sidoarjo	Gedangan	Tebel	61254
Kabupaten Sidoarjo	Gedangan	Punggul	61254
Kabupaten Sidoarjo	Gedangan	Semambung	61254
Kabupaten Sidoarjo	Gedangan	Sruni	61254
Kabupaten Sidoarjo	Gedangan	Wedi	61254
Kabupaten Sidoarjo	Gedangan	Karangbong	61254
Kabupaten Sidoarjo	Sedati	Semampir	61253
Kabupaten Sidoarjo	Sedati	Pabean	61253
Kabupaten Sidoarjo	Sedati	Sedati Gede	61253
Kabupaten Sidoarjo	Sedati	Sedati Agung	61253
Kabupaten Sidoarjo	Sedati	Pepe	61253
Kabupaten Sidoarjo	Sedati	Betro	61253
Kabupaten Sidoarjo	Sedati	Pranti	61253
Kabupaten Sidoarjo	Sedati	Kwangsan	61253
Kabupaten Sidoarjo	Sedati	Pulungan	61253
Kabupaten Sidoarjo	Sedati	Cemandi	61253
Kabupaten Sidoarjo	Sedati	Tambakcemandi	61253
Kabupaten Sidoarjo	Sedati	Kalanganyar	61253
Kabupaten Sidoarjo	Sedati	Buncitan	61253
Kabupaten Sidoarjo	Sedati	Segoro Tambak	61253
Kabupaten Sidoarjo	Sedati	Gisikdrono	61253
Kabupaten Sidoarjo	Taman	Wage	61257
Kabupaten Sidoarjo	Taman	Sepanjang	61257
Kabupaten Sidoarjo	Taman	Wonocolo	61257
Kabupaten Sidoarjo	Taman	Taman	61257
Kabupaten Sidoarjo	Taman	Kalijaten	61257
Kabupaten Sidoarjo	Taman	Bohar	61257
Kabupaten Sidoarjo	Taman	Geluran	61257
Kabupaten Sidoarjo	Taman	Ngelom	61257
Kabupaten Sidoarjo	Taman	Sadang	61257
Kabupaten Sidoarjo	Taman	Sambibulu	61257
Kabupaten Sidoarjo	Taman	Bringinbendo	61257
Kabupaten Sidoarjo	Taman	Karangbong	61257
Kabupaten Sidoarjo	Taman	Sidodadi	61257
Kabupaten Sidoarjo	Taman	Tawangsari	61257
Kabupaten Sidoarjo	Taman	Trosobo	61257
Kota Surabaya	Tenggilis Mejoyo	Kutisari	60291
Kota Surabaya	Tenggilis Mejoyo	Kendangsari	60292
Kota Surabaya	Tenggilis Mejoyo	Tenggilis Mejoyo	60292
Kota Surabaya	Tenggilis Mejoyo	Panjang Jiwo	60299
Kota Surabaya	Rungkut	Rungkut Kidul	60293
Kota Surabaya	Rungkut	Kalirungkut	60293
Kota Surabaya	Rungkut	Penjaringansari	60297
Kota Surabaya	Rungkut	Kedung Baruk	60298
Kota Surabaya	Rungkut	Medokan Ayu	60295
Kota Surabaya	Rungkut	Wonorejo	60296
Kota Surabaya	Jambangan	Pagesangan	60233
Kota Surabaya	Jambangan	Kebonsari	60233
Kota Surabaya	Jambangan	Jambangan	60232
Kota Surabaya	Jambangan	Karah	60232
Kota Surabaya	Wonokromo	Jagir	60244
Kota Surabaya	Wonokromo	Wonokromo	60243
Kota Surabaya	Wonokromo	Ngagelrejo	60245
Kota Surabaya	Wonokromo	Ngagel	60246
Kota Surabaya	Wonokromo	Sawunggaling	60242
Kota Surabaya	Wonokromo	Darmo	60241
Kota Surabaya	Karang Pilang	Kedurus	60223
Kota Surabaya	Karang Pilang	Kebraon	60222
Kota Surabaya	Karang Pilang	Karang Pilang	60221
Kota Surabaya	Karang Pilang	Warugunung	60221
Kabupaten Sidoarjo	Buduran	Sidokerto	61252
Kabupaten Sidoarjo	Buduran	Wadungasih	61252
Kabupaten Sidoarjo	Buduran	Buduran	61252
Kabupaten Sidoarjo	Buduran	Sidomulyo	61252
Kabupaten Sidoarjo	Buduran	Pagerwojo	61252
Kabupaten Sidoarjo	Buduran	Siwalanpanji	61252
Kabupaten Sidoarjo	Buduran	Entalsewu	61252
Kabupaten Sidoarjo	Buduran	Dukuhtengah	61252
Kabupaten Sidoarjo	Buduran	Sidoklumpuk	61252
Kabupaten Sidoarjo	Buduran	Mergosari	61252
Kabupaten Sidoarjo	Buduran	Sukorejo	61252
Kabupaten Sidoarjo	Buduran	Prasung	61252
Kabupaten Sidoarjo	Buduran	Damarsi	61252
Kabupaten Sidoarjo	Buduran	Sawohan	61252
Kabupaten Sidoarjo	Sukodono	Jumputrejo	61258
Kabupaten Sidoarjo	Sukodono	Klopo Sepuluh	61258
Kabupaten Sidoarjo	Sukodono	Masangan Wetan	61258
Kabupaten Sidoarjo	Sukodono	Masangan Kulon	61258
Kabupaten Sidoarjo	Sukodono	Ngaresrejo	61258
Kabupaten Sidoarjo	Sukodono	Sukodono	61258
Kabupaten Sidoarjo	Sukodono	Pekarungan	61258
Kabupaten Sidoarjo	Sukodono	Suko	61258
Kabupaten Sidoarjo	Sukodono	Panjunan	61258
Kabupaten Sidoarjo	Sukodono	Pademonegoro	61258
Kabupaten Sidoarjo	Sukodono	Anggaswangi	61258
Kabupaten Sidoarjo	Sukodono	Suruh	61258
Kabupaten Sidoarjo	Sukodono	Bangsri	61258
Kabupaten Sidoarjo	Sukodono	Begodo	61258
Kabupaten Sidoarjo	Sukodono	Kebonagung	61258
Kabupaten Sidoarjo	Sukodono	Plumbungan	61258
Kabupaten Sidoarjo	Sukodono	Terung Kulon	61258
Kota Surabaya	Wiyung	Jajar Tunggal	60229
Kota Surabaya	Wiyung	Wiyung	60228
Kota Surabaya	Wiyung	Balas Klumprik	60222
Kota Surabaya	Wiyung	Babatan	60227
