KABUPATEN_KOTA	KECAMATAN	KELURAHAN_DESA	KODE_POS	KOORDINAT_LAT_LNG
Kabupaten Sidoarjo	Balongbendo	Bakungpringgodani		
Kabupaten Sidoarjo	Balongbendo	Gadungkepuhsari		
Kabupaten Sidoarjo	Balongbendo	Wonokarang		
Kabupaten Sidoarjo	Buduran	Banjarkemantren		
Kabupaten Sidoarjo	Buduran	Banjarsari		
Kabupaten Sidoarjo	Buduran	Sidokepung		
Kabupaten Sidoarjo	Candi	Balongdowo		
Kabupaten Sidoarjo	Candi	Jambangan		
Kabupaten Sidoarjo	Gedangan	Gemurung		
Kabupaten Sidoarjo	Gedangan	Seruni		
Kabupaten Sidoarjo	Jabon	Jemirahan		
Kabupaten Sidoarjo	Jabon	Keboguyang		
Kabupaten Sidoarjo	Jabon	Kedungrejo		
Kabupaten Sidoarjo	Jabon	Tambakkalisogo		
Kabupaten Sidoarjo	Krembung	Balonggarut		
Kabupaten Sidoarjo	Krembung	Kedungrawan		
Kabupaten Sidoarjo	Krembung	Kedungsumur		
Kabupaten Sidoarjo	Krembung	Waung		
Kabupaten Sidoarjo	Krian	Tempel		
Kabupaten Sidoarjo	Krian	Tropodo		
Kabupaten Sidoarjo	Krian	Watugolong		
Kabupaten Sidoarjo	Krian	Tambak Kemerakan		
Kabupaten Sidoarjo	Prambon	Cangkringturi		
Kabupaten Sidoarjo	Prambon	Gampang		
Kabupaten Sidoarjo	Prambon	Gedangrowo		
Kabupaten Sidoarjo	Prambon	Jatialunalun		
Kabupaten Sidoarjo	Prambon	Jatikalang		
Kabupaten Sidoarjo	Prambon	Kedungsugo		
Kabupaten Sidoarjo	Prambon	Pejangkungan		
Kabupaten Sidoarjo	Prambon	Simpang		
Kabupaten Sidoarjo	Porong	Kebakalan		
Kabupaten Sidoarjo	Porong	Kedungboto		
Kabupaten Sidoarjo	Sedati	Banjarkemuning		
Kabupaten Sidoarjo	Sedati	Gisikcemandi		
Kabupaten Sidoarjo	Sidoarjo	Suko		
Kabupaten Sidoarjo	Sidoarjo	Pekauman		
Kabupaten Sidoarjo	Sidoarjo	Sidoklumpuk		
Kabupaten Sidoarjo	Sukodono	Cangkringsari		
Kabupaten Sidoarjo	Sukodono	Jogosatru		
Kabupaten Sidoarjo	Sukodono	Sambungrejo		
Kabupaten Sidoarjo	Sukodono	Wilayut		
Kabupaten Sidoarjo	Taman	Gilang		
Kabupaten Sidoarjo	Taman	Jemundo		
Kabupaten Sidoarjo	Taman	Kedungturi		
Kabupaten Sidoarjo	Taman	Tanjungsari		
Kabupaten Sidoarjo	Taman	Kletek		
Kabupaten Sidoarjo	Taman	Kramatjegu		
Kabupaten Sidoarjo	Taman	Krembangan		
Kabupaten Sidoarjo	Taman	Pertapan Maduretno		
Kabupaten Sidoarjo	Taman	Bebekan		
Kabupaten Sidoarjo	Taman	Ketegan		
Kabupaten Sidoarjo	Tanggulangin	Ketapang		
Kabupaten Sidoarjo	Tarik	Balongmacekan		
Kabupaten Sidoarjo	Tarik	Gempolklutuk		
Kabupaten Sidoarjo	Tarik	Kedinding		
Kabupaten Sidoarjo	Tarik	Kendalsewu		
Kabupaten Sidoarjo	Tarik	Klantingsari		
Kabupaten Sidoarjo	Tarik	Mliriprowo		
Kabupaten Sidoarjo	Tarik	Sebani		
Kabupaten Sidoarjo	Tarik	Segodobancang		
Kabupaten Sidoarjo	Tulangan	Gelang		
Kabupaten Sidoarjo	Tulangan	Grabagan		
Kabupaten Sidoarjo	Tulangan	Grogol		
Kabupaten Sidoarjo	Tulangan	Janti		
Kabupaten Sidoarjo	Tulangan	Kedondong		
Kabupaten Sidoarjo	Tulangan	Kenongo		
Kabupaten Sidoarjo	Tulangan	Kepatihan		
Kabupaten Sidoarjo	Tulangan	Kepuhkemiri		
Kabupaten Sidoarjo	Tulangan	Kepunten		
Kabupaten Sidoarjo	Tulangan	Medalem		
Kabupaten Sidoarjo	Waru	Janti		
Kabupaten Sidoarjo	Waru	Tambaksawah		
Kabupaten Sidoarjo	Wonoayu	Mojorangagung		
Kabupaten Sidoarjo	Wonoayu	Pilang		
Kabupaten Sidoarjo	Wonoayu	Plaosan		
Kabupaten Sidoarjo	Wonoayu	Simoangin-angin		
Kabupaten Sidoarjo	Wonoayu	Simoketawang		
Kabupaten Sidoarjo	Wonoayu	Sumberejo		
Kabupaten Sidoarjo	Wonoayu	Wonokasian		
